每股指标,每股净资产_最新股数,18.822094,18.866534,18.82092,18.657894,18.493486,18.03671,17.998379,17.80057,17.780309,17.847137,17.788551,16.68088,16.644183,16.573285,15.222047,14.008071,13.627489,13.315475,12.94139,12.577039,12.122896,12.401939,5.913518,5.144317,4.971033,4.895326,4.683567,4.592634,4.669647,4.678049,4.438575,4.110315,4.221289,3.973776,3.593258,0.321893,3.059302,3.022565,2.251475,1.889813,1.784903
每股指标,每股经营现金流,2.509994,1.535999,0.73851,-0.146773,2.840797,1.538478,0.408024,0.448698,2.900345,2.057453,1.381957,0.669354,4.624385,3.933616,3.099429,1.317106,2.637319,1.788957,1.29887,0.42806,1.710167,1.142823,,,,,,,,,,,,,,,,,,,
每股指标,每股现金流量净额,-0.554872,-2.625085,-1.170212,-1.608148,0.217107,-2.311047,-2.223549,-0.764119,-0.536497,0.206764,0.795018,1.474053,-0.803864,-0.102949,0.409885,-2.007032,-1.208074,-1.983009,-2.257755,-0.635485,6.304093,5.602554,,,,,,,,,,,,,,,,,,,
每股指标,每股企业自由现金流量,-5.138959,,-1.706042,,-3.097345,,-0.033671,,-0.462934,,0.017325,,-1.186255,,-0.894612,,0.282019,,1.005944,,-9.284304,,,,,,,,,,,,,,,,,,,,
每股指标,每股股东自由现金流量,-4.460735,,-1.418666,,-1.719947,,0.218484,,1.060235,,1.171791,,0.902306,,-0.256817,,0.605427,,0.744894,,-6.765718,,,,,,,,,,,,,,,,,,,,
每股指标,每股未分配利润,5.560915,5.408563,5.227823,5.112283,4.945852,4.824157,4.70029,4.561632,4.498829,4.354931,4.280206,4.10678,3.908592,3.557933,3.169612,2.736682,2.377864,1.945923,1.683627,1.151174,1.046433,0.887023,,,,,,,,,,,,,,,,,,,
每股指标,每股资本公积金,12.829202,12.905017,12.911373,12.908111,12.901713,12.918589,12.895484,12.886355,12.877559,12.857204,12.795047,12.595003,12.580402,12.565864,12.542061,12.408727,12.381396,12.309583,12.220899,12.191734,12.231,12.172321,,,,,,,,,,,,,,,,,,,
每股指标,每股盈余公积金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每股指标,每股留存收益,5.560915,5.408563,5.227823,5.112283,4.945852,4.824157,4.70029,4.561632,4.498829,4.354931,4.280206,4.10678,3.908592,3.557933,3.169612,2.736682,2.377864,1.945923,1.683627,1.151174,1.046433,0.887023,,,,,,,,,,,,,,,,,,,
每股指标,每股营业收入,8.414969,6.189027,4.050562,2.042281,7.246048,5.253471,3.301737,1.584378,5.694344,4.165651,2.689624,1.289279,6.257826,4.767284,3.112179,1.499261,4.508006,3.210122,2.036471,0.923126,3.566,2.701793,,,,,,,,,,,,,,,,,,,
每股指标,每股营业总收入,8.414969,6.189027,4.050562,2.042281,7.246048,5.253471,3.301737,1.584378,5.694344,4.165651,2.689624,1.289279,6.257826,4.767284,3.112179,1.499261,4.508006,3.210122,2.036471,0.923126,3.566,2.701793,,,,,,,,,,,,,,,,,,,
每股指标,每股息税前利润,1.306016,1.009692,0.604415,0.38019,1.053929,0.643495,0.35298,0.125974,1.047013,0.780351,0.581018,0.278172,1.97277,1.558458,1.040369,0.484563,1.556714,1.0238,0.6879,0.134307,0.648679,0.4796,,,,,,,,,,,,,,,,,,,
